date,index_close,index_volume,index_amount,index_turnover
2024-09-12,3172.4747,9286865700,136387244637.1,0
2024-09-13,3159.247,8833667700,137448911397.4,0
2024-09-18,3171.0102,8472281400,123452147968.9,0
2024-09-19,3196.0357,12543927200,181785109712.7,0
2024-09-20,3201.0497,11806409800,163985054956.9,0
2024-09-23,3212.7639,9534485500,143876166860.9,0
2024-09-24,3351.909,20407221700,307879526847.5,0
2024-09-25,3401.533,24156425500,356862584939.5,0
2024-09-26,3545.3204,24313401000,373983643044.8,0
2024-09-27,3703.6849,26548777400,466692757481.8,0
2024-09-30,4017.8545,51021770700,862528807419.2,0
2024-10-08,4256.0962,58986789400,1130387437130.1,0
2024-10-09,3955.9839,48226929500,1029032062193.4,0
2024-10-10,3997.7879,39505309900,717952217512.6,0
2024-10-11,3887.167,27409650500,484998267295.6,0
2024-10-14,3961.3424,30757899300,534076602215.5,0
2024-10-15,3855.9949,24248644800,434410916723.5,0
2024-10-16,3831.589,21886640700,377301324426.4,0
2024-10-17,3788.2217,21231382000,369170521634.5,0
2024-10-18,3925.234,31295883400,620673701894.1,0
2024-10-21,3935.1974,29118563400,600109598949.1,0
2024-10-22,3957.7755,22343339600,442881846813.7,0
2024-10-23,3973.2089,24587394900,469120806272.1,0
2024-10-24,3928.8334,17472406200,340486884485.3,0
2024-10-25,3956.421,21069488500,412231378430.4,0
2024-10-28,3964.1569,21616041500,390450182338.0,0
2024-10-29,3924.649,21729398400,429625020404.8,0
2024-10-30,3889.4487,21943662600,385010582233.2,0
2024-10-31,3891.0396,30063671800,515533818945.0,0
2024-11-01,3890.0203,30798648100,476472952028.3,0
2024-11-04,3944.7619,22923906000,381048606068.1,0
2024-11-05,4044.5725,31686279400,580971852723.7,0
2024-11-06,4024.2831,33580793800,639124093911.8,0
2024-11-07,4145.6952,34143641400,658145920948.1,0
2024-11-08,4104.047,33235038500,688446559772.2,0
2024-11-11,4131.1312,28959422700,625605935910.0,0
2024-11-12,4085.743,29777808600,660380524820.6,0
2024-11-13,4110.8901,24048409900,512734303119.4,0
2024-11-14,4039.6191,23015278400,464157560755.1,0
2024-11-15,3968.8308,24739946300,474079686588.2,0
2024-11-18,3950.3806,30677794600,472408054830.7,0
2024-11-19,3976.8912,24294646500,402610970340.1,0
2024-11-20,3985.7727,18459937200,347577693099.5,0
2024-11-21,3989.2979,16612592700,324235010779.0,0
2024-11-22,3865.6989,21628580900,397566831847.8,0
2024-11-25,3848.0909,19070295300,349006773180.1,0
2024-11-26,3840.1847,14989244100,264403254830.0,0
2024-11-27,3907.0447,17413609600,320632355477.0,0
2024-11-28,3872.5505,15011729100,286432871223.5,0
2024-11-29,3916.5832,18765671300,375262017919.2,0
2024-12-02,3947.632,19728978400,368591235990.8,0
2024-12-03,3951.8912,18249686700,327295048700.8,0
2024-12-04,3930.5568,17462631800,312040419081.5,0
2024-12-05,3921.5881,13853403800,257716297996.5,0
2024-12-06,3973.1405,19205790700,351751735425.0,0
2024-12-09,3966.5708,17595995800,308227216702.9,0
2024-12-10,3995.6369,25346379500,487278042807.0,0
2024-12-11,3988.8308,17725284600,310713317895.4,0
